property_id,id,displayPrice,deedDate,newBuild,tenure,percentageChange
786803|63|,74714886LR,"£178,000",4/25/2003,FALSE,Freehold,29
786803|63|,74714865LR,"£138,000",9/14/2001,FALSE,Freehold,
786926|37|,18151192LR,"£450,000",3/10/2023,FALSE,Freehold,53
786926|37|,74732133LR,"£294,000",10/22/2013,FALSE,Freehold,24
786926|37|,74732079LR,"£236,500",10/23/2006,FALSE,Freehold,89
786926|37|,74732013LR,"£125,000",2/4/2000,FALSE,Freehold,47
786926|37|,74731995LR,"£84,950",7/7/1997,FALSE,Freehold,
"4654052|CHARLOTTE HOUSE, 303|5",18150928LR,"£295,000",3/10/2023,FALSE,Leasehold,13
"4654052|CHARLOTTE HOUSE, 303|5",5476387LR,"£262,000",5/4/2017,TRUE,Leasehold,
"786899|HILLSIDE, 161 - 163|FLAT 13",18151177LR,"£221,000",3/15/2023,FALSE,Leasehold,52
"786899|HILLSIDE, 161 - 163|FLAT 13",74726856LR,"£144,950",7/11/2006,FALSE,Leasehold,89
"786899|HILLSIDE, 161 - 163|FLAT 13",74726748LR,"£76,500",3/17/2000,FALSE,Leasehold,82
"786899|HILLSIDE, 161 - 163|FLAT 13",74726715LR,"£42,000",2/21/1997,FALSE,Leasehold,
786946|4|,18151201LR,"£260,000",3/15/2023,FALSE,Leasehold,
786932|6 - 8|FLAT 5,18392584LR,"£240,000",3/17/2023,FALSE,Leasehold,26
786932|6 - 8|FLAT 5,74733351LR,"£190,000",8/7/2014,FALSE,Leasehold,55
786932|6 - 8|FLAT 5,74733276LR,"£122,500",12/12/2003,FALSE,Leasehold,111
786932|6 - 8|FLAT 5,74733234LR,"£58,000",4/30/1999,FALSE,Leasehold,
1229931|30|,18392545LR,"£485,000",3/17/2023,FALSE,Freehold,55
1229931|30|,15700054LR,"£312,500",6/15/2022,FALSE,Freehold,
786576|1|,19298506LR,"£881,000",3/17/2023,FALSE,Freehold,
1229965|34|FLAT 1,18640561LR,"£307,500",3/17/2023,FALSE,Leasehold,
786926|15|,18392581LR,"£433,000",3/17/2023,FALSE,Freehold,73
786926|15|,74732088LR,"£250,000",6/22/2007,FALSE,Freehold,29
786926|15|,74732052LR,"£194,000",8/8/2003,FALSE,Freehold,94
786926|15|,74732001LR,"£99,950",6/12/1998,FALSE,Freehold,
786843|23|,18882514LR,"£525,000",3/20/2023,FALSE,Freehold,
786542|1|,18392401LR,"£440,000",3/20/2023,FALSE,Freehold,31
786542|1|,5767714LR,"£335,000",7/28/2017,FALSE,Freehold,
1229956|THICKET COURT|7,93919608LR,"£269,500",3/21/2023,FALSE,Leasehold,55
1229956|THICKET COURT|7,74729415LR,"£173,500",12/31/2009,FALSE,Leasehold,-1
1229956|THICKET COURT|7,74729409LR,"£175,000",12/22/2008,FALSE,Leasehold,22
1229956|THICKET COURT|7,74729379LR,"£143,000",9/22/2003,FALSE,Leasehold,
1509262|CAVERSHAM HOUSE|FLAT 17,93296067LR,"£405,000",3/1/2022,FALSE,Leasehold,62
1509262|CAVERSHAM HOUSE|FLAT 17,49195032LR,"£250,000",5/4/2007,FALSE,Leasehold,19
1509262|CAVERSHAM HOUSE|FLAT 17,49194999LR,"£210,000",10/24/2003,FALSE,Leasehold,151
1509262|CAVERSHAM HOUSE|FLAT 17,49194939LR,"£83,500",11/4/1996,FALSE,Leasehold,
"4768734|HARRIER HOUSE, 5|FLAT 30",17066275LR,"£710,000",3/1/2022,FALSE,Leasehold,
426292|GARRICKS HOUSE|FLAT 48,19450192LR,"£440,000",3/1/2022,FALSE,Leasehold,26
